Safety_Violent,Safety_Prop,Gender,Race,District,Income,Edu,Age,YearsDallas,OwnHome
1,1,2,3,13,4,3,3,30,1
3,3,2,1,3,2,3,4,43,2
2,2,2,3,6,1,3,2,7,2
3,2,1,3,13,1,2,5,82,1
1,1,2,1,6,1,3,4,999,2
3,2,1,2,14,5,3,1,19,1
4,3,2,2,9,5,3,1,12,1
2,2,2,1,4,4,2,2,30,1
4,4,1,3,12,4,3,2,21,1
4,2,1,3,3,4,3,1,33,1
1,3,2,3,6,1,1,3,35,1
1,2,2,1,4,3,3,1,30,2
1,1,2,3,1,2,2,1,15,2
4,4,2,1,7,1,3,3,10,2
4,4,1,3,1,2,3,3,54,2
2,2,1,3,6,3,3,3,26,2
3,3,1,2,14,5,3,2,24,2
3,9,1,2,4,2,3,5,72,2
3,2,1,3,2,3,3,1,3,2
2,2,1,3,4,3,3,2,25,1
2,2,1,3,4,2,3,3,54,1
3,4,2,3,6,3,1,2,16,1
4,4,2,3,6,9,3,1,29,1
2,2,2,3,6,1,2,5,52,2
9,2,1,3,13,9,9,5,77,1
3,2,1,3,1,2,2,1,25,2
2,3,2,3,6,9,3,1,12,2
3,3,2,3,8,2,3,1,32,1
1,1,2,3,6,1,2,5,83,1
1,1,1,3,2,9,9,1,28,2
3,3,1,2,13,9,3,5,57,1
2,1,1,3,13,2,3,4,37,1
2,2,2,1,3,2,3,4,52,1
4,4,1,4,14,5,3,1,5,2
1,2,1,3,1,2,3,4,56,1
3,2,1,2,3,5,3,2,5,2
2,2,2,1,2,1,3,4,63,2
2,2,2,3,6,2,3,1,32,1
1,1,1,3,2,2,3,3,46,1
1,2,1,3,3,4,3,1,23,2
2,3,2,3,1,2,1,3,44,1
1,1,1,1,7,1,2,4,999,2
1,3,1,1,7,1,1,3,45,2
9,9,1,3,6,3,3,2,36,1
4,3,1,2,1,3,3,5,71,2
2,2,1,2,13,2,3,2,39,2
5,3,1,1,4,3,3,4,62,2
2,2,1,3,6,2,1,3,38,1
3,2,2,3,6,4,2,3,42,1
4,3,2,3,8,1,3,1,29,1
3,3,2,3,7,3,2,1,25,1
2,2,2,3,3,3,3,1,999,1
3,4,1,1,3,3,3,4,57,2
1,1,2,1,7,2,3,1,18,2
3,2,1,1,3,9,3,4,36,1
1,1,2,3,1,1,2,3,52,1
2,2,2,1,8,2,3,2,30,2
4,9,2,1,6,1,3,2,35,1
3,3,2,3,13,4,3,1,10,1
9,9,2,1,13,3,3,2,35,1
3,3,1,3,14,5,3,2,1,2
1,2,1,3,2,2,3,5,79,2
4,4,2,2,14,5,3,4,12,2
9,9,1,1,4,9,3,4,63,1
4,3,2,1,7,2,3,3,47,1
2,2,1,3,2,2,3,3,50,2
3,3,2,3,6,1,2,3,43,1
1,1,2,1,7,1,3,3,35,2
4,3,1,2,14,5,3,1,14,2
2,5,2,1,7,1,2,2,20,2
2,2,1,3,1,1,3,4,50,1
4,4,2,1,3,5,3,3,49,1
2,1,2,2,13,5,3,2,27,1
2,2,1,2,12,5,3,5,19,1
3,3,1,3,12,4,3,1,20,1
9,9,1,3,2,9,9,2,44,2
4,2,1,3,6,2,3,1,28,1
2,2,2,2,13,2,3,5,74,1
4,4,1,2,14,5,3,3,50,2
3,2,1,2,6,1,3,3,39,2
3,5,1,3,2,2,2,4,40,1
4,4,1,2,12,2,3,5,12,2
1,1,1,3,7,9,1,2,33,2
3,3,2,3,13,3,3,4,60,2
2,2,2,1,7,1,2,2,44,2
2,1,2,3,2,2,3,1,22,2
4,2,2,3,6,3,3,2,42,2
3,2,2,2,13,1,3,5,75,2
1,1,1,3,3,5,3,1,17,1
3,3,1,2,14,5,3,5,16,1
3,3,2,1,7,2,2,1,32,2
3,3,2,2,13,3,3,1,4,2
2,2,1,3,1,1,1,3,38,2
5,5,2,1,7,2,1,5,50,2
1,1,2,1,4,1,3,2,43,2
4,4,1,3,13,4,3,4,40,1
3,3,1,3,13,4,3,1,29,2
2,2,2,3,2,9,3,1,15,2
4,3,1,1,12,3,3,1,9,2
3,3,2,3,1,2,1,2,31,2
2,2,2,3,6,1,3,2,30,2
4,4,1,1,7,3,3,2,21,2
3,2,1,3,7,9,9,2,42,9
1,1,1,1,7,2,3,2,32,2
3,3,2,3,1,1,1,2,30,1
2,2,2,1,4,5,3,5,65,1
1,1,2,1,3,2,3,4,58,2
2,2,2,1,7,1,1,5,80,1
4,4,2,1,2,2,3,4,59,1
3,2,2,3,12,4,3,1,13,1
3,3,2,1,6,5,3,4,62,1
